mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
42.018999099731445,12.620137757538354,0.12610316276550293,0.008381837146852207,2,2,200,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200}",-7731.452228084911,-7585.420375617635,-7828.230256016974,-7715.034286573173,99.80421202700634,22
124.30068405469258,22.17638510992056,0.2900528113047282,0.009438394582660907,2,2,500,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 500}",-7726.754515139486,-7572.418646556787,-7842.321683704757,-7713.831615133677,110.56570708209259,21
272.28329133987427,109.90877283650529,0.556927760442098,0.007215590595569235,2,2,1000,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 1000}",-7725.686199790769,-7610.389395707838,-7842.276926271727,-7726.1175072567785,94.66817919220888,25
29.49519944190979,0.13183650784947806,0.11531837781270345,0.004297008274485646,2,16,200,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 200}",-7722.098610498191,-7572.49487285355,-7800.8778093011315,-7698.4904308842915,94.7195897500147,19
86.61060770352681,18.717677511347862,0.2797970771789551,0.0013846409080803994,2,16,500,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 500}",-7728.911477889044,-7604.819923093225,-7849.370330823105,-7727.700577268458,99.84095749556677,27
146.70083578427634,0.43721011379504743,0.5627736250559489,0.0059662055733073205,2,16,1000,"{'max_depth': 2, 'min_samples_leaf': 16, 'n_estimators': 1000}",-7719.523059701155,-7611.290154735535,-7841.883744429139,-7724.232319621943,94.19831473615207,24
29.201260089874268,0.10641455087145685,0.11413288116455078,0.00044662246758090166,2,64,200,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 200}",-7735.751418962961,-7607.487811292824,-7838.619511378125,-7727.286247211304,94.54878827240192,26
73.3970266977946,0.3078062166500406,0.28267383575439453,0.0012531089242968565,2,64,500,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 500}",-7729.682448428965,-7603.5359773253,-7832.542402981835,-7721.920276245367,93.65245764972875,23
146.73527065912882,0.21232284448096003,0.5569679737091064,0.004197689903499276,2,64,1000,"{'max_depth': 2, 'min_samples_leaf': 64, 'n_estimators': 1000}",-7724.038855681667,-7594.37275192272,-7814.206587062305,-7710.872731555563,90.22837279711383,20
69.01332386334737,0.2451715062521274,0.21623547871907553,0.002730165953292132,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",-3854.941295850865,-3955.9941183967358,-3903.464549913548,-3904.799988053716,41.26544787423224,12
174.56872765223184,0.5685199401180012,0.547961950302124,0.0054425225092740075,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",-3843.3001329188332,-3948.9397271802422,-3899.4799239778426,-3897.2399280256395,43.156259919260805,10
347.2753043969472,0.6844457892875757,1.0838390191396077,0.011902482135763203,5,2,1000,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 1000}",-3847.5025757763055,-3945.4528109937837,-3903.1750805330803,-3898.7101557677233,40.1124569982946,11
69.22275384267171,0.02296432405521414,0.21759478251139322,0.0019739340714096006,5,16,200,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 200}",-3862.3675800320066,-3986.571564699087,-3936.683791594676,-3928.5409787752565,51.03192792918415,15
175.6297025680542,3.1520758920414393,0.5431423187255859,0.0037203077463235494,5,16,500,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 500}",-3867.4856565670757,-3960.103324553271,-3928.558922790882,-3918.7159679704096,38.446247545533545,14
344.8455979824066,0.5995027065314603,1.0811363061269124,0.0021780559652324356,5,16,1000,"{'max_depth': 5, 'min_samples_leaf': 16, 'n_estimators': 1000}",-3865.928144277657,-3966.490929346341,-3922.795022122025,-3918.4046985820078,41.171791644135155,13
68.89376489321391,0.027756668475337323,0.21721990903218588,0.0008855494755518468,5,64,200,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 200}",-3912.109646793459,-3972.0073973174126,-3968.583453196303,-3950.9001657690583,27.464633259683367,16
591.8558164437612,210.66201783127948,2.3179519971211753,0.22587148740213114,5,64,500,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 500}",-3905.35712883801,-3999.7424720571944,-3979.663479460181,-3961.587693451795,40.59719845438052,18
1448.7130314509075,61.02658567434234,3.842381000518799,1.9689501854880285,5,64,1000,"{'max_depth': 5, 'min_samples_leaf': 64, 'n_estimators': 1000}",-3906.372764770679,-3994.5685251988502,-3981.7753419678156,-3960.905543979115,38.912589140642865,17
93.67503650983174,0.9085402980253563,0.2960354487101237,0.005278300288350834,7,2,200,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 200}",-3093.3860522301657,-3166.440686914913,-3148.4523396205223,-3136.0930262552006,31.078496128106966,1
234.5259722073873,2.4861950461940117,0.7324678103129069,0.007850036383445756,7,2,500,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 500}",-3090.7327592132533,-3170.9034882399865,-3151.6364336396628,-3137.7575603643004,34.16922387875417,3
465.2512152194977,2.018267054800179,1.4627954165140789,0.012860828984901531,7,2,1000,"{'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 1000}",-3091.88206692416,-3170.8786895408607,-3148.6784919142196,-3137.1464161264134,33.26517874287504,2
92.90858022371928,0.051453850887721544,0.296619971593221,0.00282540563976956,7,16,200,"{'max_depth': 7, 'min_samples_leaf': 16, 'n_estimators': 200}",-3146.707366331699,-3203.3292536182034,-3195.8201562087784,-3181.95225871956,25.109738689069005,6
231.01673086484274,0.2734311206216685,0.7357408205668131,0.008511083604146536,7,16,500,"{'max_depth': 7, 'min_samples_leaf': 16, 'n_estimators': 500}",-3148.880806306924,-3203.319756238497,-3192.3901613791345,-3181.530241308185,23.513871301476964,5
461.50669860839844,1.3443731480934036,1.4953949451446533,0.03731327127146477,7,16,1000,"{'max_depth': 7, 'min_samples_leaf': 16, 'n_estimators': 1000}",-3145.1126733703295,-3203.3266281647057,-3196.0456269343395,-3181.494976156458,25.897325624412904,4
91.77363602320354,0.6935055526457715,0.29810460408528644,0.007677833726125375,7,64,200,"{'max_depth': 7, 'min_samples_leaf': 64, 'n_estimators': 200}",-3251.912706923119,-3298.4039636473804,-3300.5443122696943,-3283.620327613398,22.437694183898234,9
228.0296587149302,0.06513644873075504,0.7313726743062338,0.005728334737123056,7,64,500,"{'max_depth': 7, 'min_samples_leaf': 64, 'n_estimators': 500}",-3247.162204489542,-3292.0805557670274,-3302.5085271623207,-3280.5837624729634,24.012997180480642,7
456.17933956782025,0.8122489164089752,1.4539341926574707,0.01275677381313249,7,64,1000,"{'max_depth': 7, 'min_samples_leaf': 64, 'n_estimators': 1000}",-3251.773355538167,-3294.9282764658565,-3302.264083643314,-3282.9885718824457,22.27473629176198,8
